Rank,University,Score
1,HARVARD UNIVERSITY,23932
2,STANFORD UNIVERSITY,16636
3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,15125
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",14526
5,COLUMBIA UNIVERSITY,10292
6,UNIVERSITY OF OXFORD,9840
7,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",9435
8,UNIVERSITY OF CAMBRIDGE,9339
9,UNIVERSITY OF CHICAGO,9336
10,YALE UNIVERSITY,8860
11,CALIFORNIA INSTITUTE OF TECHNOLOGY,8217
12,UNIVERSITY OF WASHINGTON,8106
13,CHINESE ACADEMY OF SCIENCES,7854
14,UNIVERSITY OF PENNSYLVANIA,7814
15,UNIVERSITY OF MICHIGAN,7496
16,PRINCETON UNIVERSITY,7457
17,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",7246
18,NEW YORK UNIVERSITY,6499
19,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",6310
20,CORNELL UNIVERSITY,6247
21,UNIVERSITY COLLEGE LONDON,6118
22,JOHNS HOPKINS UNIVERSITY,6078
23,UNIVERSITY OF TORONTO,5920
24,UNIVERSITY OF MARYLAND,5883
25,ETH ZURICH,5803
26,DUKE UNIVERSITY,5574
27,UNIVERSITY OF TOKYO,5374
28,WASHINGTON UNIVERSITY,5250
29,NORTHWESTERN UNIVERSITY,5216
30,UNIVERSITY OF COPENHAGEN,5091
31,"UNIVERSITY OF MINNESOTA, TWIN CITIES",4783
32,UNIVERSITY OF COLORADO,4722
33,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",4660
34,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",4644
35,IMPERIAL COLLEGE LONDON,4564
36,UNIVERSITY OF WISCONSIN,4425
37,"UNIVERSITY OF CALIFORNIA, DAVIS",4414
38,"UNIVERSITY OF TEXAS, AUSTIN",4339
39,PENNSYLVANIA STATE UNIVERSITY,3939
40,UNIVERSITY OF EDINBURGH,3749
41,TSINGHUA UNIVERSITY,3732
42,UNIVERSITY OF BRITISH COLUMBIA,3662
43,UNIVERSITY OF MUNICH,3547
44,UNIVERSITY OF ZURICH,3413
45,UNIVERSITY OF ARIZONA,3391
46,BOSTON UNIVERSITY,3310
47,PEKING UNIVERSITY,3280
48,OHIO STATE UNIVERSITY,3275
49,UNIVERSITY OF MELBOURNE,3182
50,KYOTO UNIVERSITY,3104
51,UNIVERSITY OF QUEENSLAND,3036
52,NATIONAL UNIVERSITY OF SINGAPORE,3016
53,MCGILL UNIVERSITY,2967
54,UNIVERSITY OF MASSACHUSETTS,2937
55,UNIVERSITY OF PARIS VI,2933
56,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",2905
57,"UNIVERSITY OF CALIFORNIA, IRVINE",2885
58,STOCKHOLM UNIVERSITY,2867
59,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",2755
60,TEXAS A&M UNIVERSITY,2749
61,UPPSALA UNIVERSITY,2704
62,RUTGERS STATE UNIVERSITY,2671
63,VANDERBILT UNIVERSITY,2666
64,UNIVERSITY OF MANCHESTER,2644
65,UNIVERSITY OF PARIS VII,2611
66,ARIZONA STATE UNIVERSITY,2591
67,HEIDELBERG UNIVERSITY,2586
68,UNIVERSITY OF AMSTERDAM,2559
69,UNIVERSITY OF SOUTHERN CALIFORNIA,2557
70,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,2502
71,TECHNICAL UNIVERSITY OF MUNICH,2500
72,UNIVERSITY OF BRISTOL,2491
73,PURDUE UNIVERSITY,2489
74,AARHUS UNIVERSITY,2474
75,AUSTRALIAN NATIONAL UNIVERSITY,2456
76,UNIVERSITY OF PITTSBURGH,2445
77,UNIVERSITY OF UTAH,2432
78,INDIANA UNIVERSITY,2419
79,EMORY UNIVERSITY,2397
80,BROWN UNIVERSITY,2307
81,UNIVERSITY OF HAWAII,2266
82,UNIVERSITY OF VIRGINIA,2255
83,POMPEU FABRA UNIVERSITY,2234
84,KATHOLIEKE UNIVERSITEIT LEUVEN,2214
85,AIX MARSEILLE UNIVERSITY,2207
86,UNIVERSITY OF SOUTHAMPTON,2196
87,UNIVERSITY OF BASEL,2143
